season,yr,mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,cnt,key
winter,2011,1,0,0,6,0,3.3,3.0,0.81,0.0,16,0
winter,2011,1,1,0,6,0,2.3,2.0,0.8,0.0,40,1
winter,2011,1,2,0,6,0,2.3,2.0,0.8,0.0,32,2
winter,2011,1,3,0,6,0,3.3,3.0,0.75,0.0,13,3
winter,2011,1,4,0,6,0,3.3,3.0,0.75,0.0,1,4
winter,2011,1,5,0,6,0,3.3,1.0,0.75,0.0896,1,5
winter,2011,1,6,0,6,0,2.3,2.0,0.8,0.0,2,6
winter,2011,1,7,0,6,0,1.4,1.0,0.86,0.0,3,7
winter,2011,1,8,0,6,0,3.3,3.0,0.75,0.0,8,8
winter,2011,1,9,0,6,0,7.0,7.0,0.76,0.0,14,9
winter,2011,1,10,0,6,0,9.9,10.0,0.76,0.2537,36,10
winter,2011,1,11,0,6,0,8.9,6.0,0.81,0.2836,56,11
winter,2011,1,12,0,6,0,11.7,12.0,0.77,0.2836,84,12
winter,2011,1,13,0,6,0,13.6,14.0,0.72,0.2985,94,13
winter,2011,1,14,0,6,0,13.6,14.0,0.72,0.2836,106,14
winter,2011,1,15,0,6,0,12.7,13.0,0.77,0.2985,110,15
winter,2011,1,16,0,6,0,11.7,12.0,0.82,0.2985,93,16
winter,2011,1,17,0,6,0,12.7,13.0,0.82,0.2836,67,17
winter,2011,1,18,0,6,0,11.7,12.0,0.88,0.2537,35,18
winter,2011,1,19,0,6,0,11.7,12.0,0.88,0.2537,37,19
winter,2011,1,20,0,6,0,10.8,11.0,0.87,0.2537,36,20
winter,2011,1,21,0,6,0,10.8,11.0,0.87,0.194,34,21
winter,2011,1,22,0,6,0,10.8,11.0,0.94,0.2239,28,22
winter,2011,1,23,0,6,0,13.6,14.0,0.88,0.2985,39,23
winter,2011,1,0,0,0,0,13.6,14.0,0.88,0.2985,17,24
winter,2011,1,1,0,0,0,12.7,13.0,0.94,0.2537,17,25
winter,2011,1,2,0,0,0,11.7,12.0,1.0,0.2836,9,26
winter,2011,1,3,0,0,0,13.6,14.0,0.94,0.194,6,27
winter,2011,1,4,0,0,0,13.6,14.0,0.94,0.194,3,28
winter,2011,1,6,0,0,0,11.7,12.0,0.77,0.2985,2,29
winter,2011,1,7,0,0,0,10.8,11.0,0.76,0.194,1,30
winter,2011,1,8,0,0,0,10.8,11.0,0.71,0.2239,8,31
winter,2011,1,9,0,0,0,9.9,10.0,0.76,0.2239,20,32
winter,2011,1,10,0,0,0,8.9,7.0,0.81,0.2239,53,33
winter,2011,1,11,0,0,0,8.9,6.0,0.71,0.2537,70,34
winter,2011,1,12,0,0,0,8.9,6.0,0.66,0.2985,93,35
winter,2011,1,13,0,0,0,8.9,7.0,0.66,0.1343,75,36
winter,2011,1,14,0,0,0,8.9,7.0,0.76,0.194,59,37
winter,2011,1,15,0,0,0,8.0,6.0,0.81,0.1642,74,38
winter,2011,1,16,0,0,0,8.0,6.0,0.71,0.1642,76,39
winter,2011,1,17,0,0,0,8.0,6.0,0.57,0.194,65,40
winter,2011,1,18,0,0,0,8.9,6.0,0.46,0.3284,53,41
winter,2011,1,19,0,0,0,7.0,3.0,0.42,0.4478,30,42
